TrendDate,speed,load,pressure,temp1,temp2,temp3,temp4
2026-04-28 12:32:00+00,96,61.5,257.5,175,175,175.1000061,175
2026-04-28 12:33:00+00,92,60,258.3999939,175.1999969,175,175,175
2026-04-28 12:34:00+00,94.90000153,60.90000153,257.2000122,175.1999969,175,175,174.8999939
2026-04-28 12:35:00+00,93.40000153,61,255.5,175.1999969,174.8999939,175,174.8000031
2026-04-28 12:36:00+00,94,60.90000153,255.3000031,175,174.8999939,175,175
2026-04-28 12:37:00+00,96.30000305,63.09999847,256.7999878,175,174.8999939,175,175.1999969
2026-04-28 12:38:00+00,95.19999695,62.59999847,257.8999939,175,174.8000031,175.1000061,175.3999939
2026-04-28 12:39:00+00,94.30000305,61.29999924,258.3999939,175,174.8999939,175.1000061,175
2026-04-28 12:40:00+00,95,61.20000076,257.7999878,175,174.8999939,175.1000061,174.8000031
2026-04-28 12:41:00+00,93.69999695,61.5,256.3999939,175.1999969,175,175.1000061,174.3999939
2026-04-28 12:42:00+00,93.19999695,61.40000153,256.3999939,175.1000061,175.1000061,175,174.3999939
2026-04-28 12:43:00+00,95.5,62.90000153,257.1000061,174.8000031,175.1000061,175,175.1000061
2026-04-28 12:44:00+00,93.80000305,62.79999924,258.2000122,174.8000031,175.1000061,175,175.5
2026-04-28 12:45:00+00,94.30000305,62.5,259.5,174.8000031,175.1000061,175,174.6999969
2026-04-28 12:46:00+00,94.80000305,61.40000153,260.5,175,175.1000061,175.1000061,174.3000031
2026-04-28 12:47:00+00,90.80000305,61.09999847,259.3999939,175.1000061,175,175.1000061,174.3000031
2026-04-28 12:48:00+00,94.80000305,61,258.2999878,175.1999969,175,175,174.8000031
2026-04-28 12:49:00+00,91.80000305,61,258,174.8999939,175,175,174.8000031
2026-04-28 12:50:00+00,93.69999695,61.5,258.3999939,174.8000031,175.1000061,175,174.8000031
2026-04-28 12:51:00+00,92.09999847,60.79999924,259.2999878,174.8999939,175.1000061,175,175
2026-04-28 12:53:00+00,94.40000153,62.20000076,260.1000061,175.1000061,175,174.8999939,174.6999969
2026-04-28 12:54:00+00,96.19999695,63.09999847,259.3999939,175.1000061,174.8999939,174.8999939,174.8000031
2026-04-28 12:55:00+00,91.40000153,61.09999847,258.5,174.8999939,174.8999939,174.8999939,174.8000031
2026-04-28 12:56:00+00,92.30000305,61.09999847,257.6000061,174.8000031,175.1000061,175,175
2026-04-28 12:57:00+00,89.80000305,60.40000153,258.2999878,174.8999939,175,175,175.6000061
2026-04-28 12:58:00+00,92.5,60.70000076,260.1000061,175,175.1000061,175,175.3000031
2026-04-28 12:59:00+00,97.09999847,64,260.3999939,175.1999969,175,175,174.3000031
2026-04-28 13:00:00+00,92.09999847,61.40000153,259.7000122,175.1999969,175,175,173.6999969
2026-04-28 13:01:00+00,92.80000305,61.40000153,258.5,175.1000061,175,175,173.8999939
2026-04-28 13:02:00+00,94.69999695,62.79999924,257.8999939,175,174.8999939,175,174.5
2026-04-28 13:03:00+00,96.09999847,62.29999924,257.7000122,175,174.8000031,175,175.1999969
2026-04-28 13:04:00+00,96.30000305,62,258.1000061,175.1000061,174.8999939,175,175
2026-04-28 13:05:00+00,92.59999847,61.29999924,258.3999939,175.1999969,174.8999939,175,174.6999969
2026-04-28 13:06:00+00,95.40000153,61,258.7999878,174.8999939,175,175,174.6000061
2026-04-28 13:07:00+00,95.69999695,61.70000076,258.2999878,175,174.8999939,174.8999939,174.5
2026-04-28 13:08:00+00,93.19999695,61.59999847,256.7000122,175,174.8999939,175,174.8000031
2026-04-28 13:09:00+00,89.5,61,256.5,175,174.8999939,174.8999939,174.8999939
2026-04-28 13:10:00+00,93.40000153,60.09999847,257.5,174.8999939,175,175,174.8999939
2026-04-28 13:11:00+00,93.5,60.59999847,258.8999939,174.8999939,175,175,175
2026-04-28 13:12:00+00,93.80000305,60.40000153,259.5,175,175,175,175
2026-04-28 13:13:00+00,91.19999695,60.79999924,259.3999939,175.1000061,175,175,175
